VALOR,VIGENCIADESDE,VIGENCIAHASTA
1926.30,03/05/2014,05/05/2014
1923.07,06/05/2014,06/05/2014
1918.20,07/05/2014,07/05/2014
1912.97,08/05/2014,08/05/2014
1902.15,09/05/2014,09/05/2014
1901.51,10/05/2014,12/05/2014
1904.85,13/05/2014,13/05/2014
1919.70,14/05/2014,14/05/2014
1925.31,15/05/2014,15/05/2014
1927.80,16/05/2014,16/05/2014
1925.41,17/05/2014,19/05/2014
1921.16,20/05/2014,20/05/2014
1920.41,21/05/2014,21/05/2014
1911.33,22/05/2014,22/05/2014
1905.80,23/05/2014,23/05/2014
1905.53,24/05/2014,27/05/2014
1917.34,28/05/2014,28/05/2014
1910.80,29/05/2014,29/05/2014
1905.96,30/05/2014,30/05/2014
1900.64,31/05/2014,03/06/2014
1899.74,04/06/2014,04/06/2014
1897.70,05/06/2014,05/06/2014
1892.08,06/06/2014,06/06/2014
1886.09,07/06/2014,09/06/2014
1883.76,10/06/2014,10/06/2014
1884.97,11/06/2014,11/06/2014
1884.63,12/06/2014,12/06/2014
1877.18,13/06/2014,13/06/2014
1877.37,14/06/2014,16/06/2014
1886.62,17/06/2014,17/06/2014
1899.90,18/06/2014,18/06/2014
1895.92,19/06/2014,19/06/2014
1881.34,20/06/2014,20/06/2014
1884.56,21/06/2014,24/06/2014
1886.85,25/06/2014,25/06/2014
1880.37,26/06/2014,26/06/2014
1886.01,27/06/2014,27/06/2014
1881.19,28/06/2014,01/07/2014
1865.42,02/07/2014,02/07/2014
1856.73,03/07/2014,03/07/2014
1848.91,04/07/2014,07/07/2014
1849.28,08/07/2014,08/07/2014
1854.24,09/07/2014,09/07/2014
1859.94,10/07/2014,10/07/2014
1858.47,11/07/2014,11/07/2014
1852.57,12/07/2014,14/07/2014
1857.93,15/07/2014,15/07/2014
1867.88,16/07/2014,16/07/2014
1868.41,17/07/2014,17/07/2014
1872.27,18/07/2014,18/07/2014
1871.87,19/07/2014,21/07/2014
1861.28,22/07/2014,22/07/2014
1848.98,23/07/2014,23/07/2014
1847.85,24/07/2014,24/07/2014
1846.12,25/07/2014,25/07/2014
1848.56,26/07/2014,28/07/2014
1850.61,29/07/2014,29/07/2014
1853.30,30/07/2014,30/07/2014
1872.43,31/07/2014,31/07/2014
1878.75,01/08/2014,01/08/2014
1873.65,02/08/2014,04/08/2014
1878.68,05/08/2014,05/08/2014
1892.35,06/08/2014,06/08/2014
1888.51,07/08/2014,08/08/2014
1891.59,09/08/2014,11/08/2014
1881.62,12/08/2014,12/08/2014
1877.40,13/08/2014,13/08/2014
1883.33,14/08/2014,14/08/2014
1877.77,15/08/2014,15/08/2014
1884.81,16/08/2014,19/08/2014
1894.27,20/08/2014,20/08/2014
1912.43,21/08/2014,21/08/2014
1919.84,22/08/2014,22/08/2014
1924.40,23/08/2014,25/08/2014
1932.39,26/08/2014,26/08/2014
1928.67,27/08/2014,27/08/2014
1926.92,28/08/2014,28/08/2014
1935.04,29/08/2014,29/08/2014
1918.62,30/08/2014,02/09/2014
1931.49,03/09/2014,03/09/2014
1924.67,04/09/2014,04/09/2014
1931.45,05/09/2014,05/09/2014
1935.25,06/09/2014,08/09/2014
1942.03,09/09/2014,09/09/2014
1962.84,10/09/2014,10/09/2014
1975.82,11/09/2014,11/09/2014
1979.97,12/09/2014,12/09/2014
1994.97,13/09/2014,15/09/2014
1987.71,16/09/2014,16/09/2014
1978.08,17/09/2014,17/09/2014
1975.47,18/09/2014,18/09/2014
1975.42,19/09/2014,19/09/2014
1966.89,20/09/2014,22/09/2014
1992.68,23/09/2014,23/09/2014
1997.91,24/09/2014,24/09/2014
2007.48,25/09/2014,25/09/2014
2019.76,26/09/2014,26/09/2014
2023.89,27/09/2014,29/09/2014
2028.48,30/09/2014,30/09/2014
2022.00,01/10/2014,01/10/2014
2025.75,02/10/2014,02/10/2014
2021.49,03/10/2014,03/10/2014
2026.20,04/10/2014,06/10/2014
2028.03,07/10/2014,07/10/2014
2026.90,08/10/2014,08/10/2014
2040.31,09/10/2014,09/10/2014
2041.71,10/10/2014,10/10/2014
2052.96,11/10/2014,14/10/2014
2049.66,15/10/2014,15/10/2014
2057.70,16/10/2014,16/10/2014
2074.40,17/10/2014,17/10/2014
2064.43,18/10/2014,20/10/2014
2065.82,21/10/2014,21/10/2014
2048.44,22/10/2014,22/10/2014
2049.90,23/10/2014,23/10/2014
2053.39,24/10/2014,24/10/2014
2065.38,25/10/2014,27/10/2014
2069.72,28/10/2014,28/10/2014
833.35,16/06/1994,16/06/1994
643.42,02/12/1991,02/12/1991
639.22,03/12/1991,03/12/1991
635.70,04/12/1991,04/12/1991
2905.12,03/10/2003,03/10/2003
2881.88,04/10/2003,06/10/2003
2872.70,07/10/2003,07/10/2003
2951.14,04/04/2003,04/04/2003
2946.79,05/04/2003,07/04/2003
2942.41,08/04/2003,08/04/2003
2938.32,09/04/2003,09/04/2003
2920.40,10/04/2003,10/04/2003
2911.74,11/04/2003,11/04/2003
2923.07,12/04/2003,14/04/2003
2931.69,15/04/2003,15/04/2003
2919.58,16/04/2003,16/04/2003
2918.01,17/04/2003,21/04/2003
2920.04,22/04/2003,22/04/2003
2916.03,23/04/2003,23/04/2003
2911.00,24/04/2003,24/04/2003
2908.25,25/04/2003,25/04/2003
2912.83,26/04/2003,28/04/2003
2900.00,29/04/2003,29/04/2003
2887.82,30/04/2003,30/04/2003
2868.43,01/05/2003,02/05/2003
2865.94,03/05/2003,05/05/2003
2858.37,06/05/2003,06/05/2003
2856.98,07/05/2003,07/05/2003
2866.06,08/05/2003,08/05/2003
2848.41,09/05/2003,09/05/2003
2840.04,10/05/2003,12/05/2003
2833.86,13/05/2003,13/05/2003
2813.60,14/05/2003,14/05/2003
2821.08,15/05/2003,15/05/2003
2827.99,16/05/2003,16/05/2003
2816.46,17/05/2003,19/05/2003
2874.77,20/05/2003,20/05/2003
2909.83,21/05/2003,21/05/2003
2912.46,22/05/2003,22/05/2003
2905.91,23/05/2003,23/05/2003
2868.37,24/05/2003,26/05/2003
2868.37,27/05/2003,27/05/2003
2850.03,28/05/2003,28/05/2003
2874.91,29/05/2003,29/05/2003
2855.88,30/05/2003,30/05/2003
2853.33,31/05/2003,03/06/2003
2846.16,04/06/2003,04/06/2003
2849.71,05/06/2003,05/06/2003
2839.21,06/06/2003,06/06/2003
